Name	Team	Opp	Score	Rec	Yds	Avg	TD	FUM
Ricardo Louis	CLE	@ MIA	L  24-30	3	40	13.3	0	0
Golden Tate	DET	@ GB	L  27-34	4	40	10.0	0	0
Theo Riddick	DET	@ GB	L  27-34	7	39	5.6	0	0
Kenny Britt	LA	@ TB	W  37-32	4	38	9.5	0	1
Julian Edelman	NE	vs HOU	W  27-0	4	38	9.5	0	0
Quincy Enunwa	NYJ	@ KC	L  3-24	4	37	9.2	0	0
Vincent Jackson	TB	vs LA	L  32-37	3	37	12.3	0	0
Giovani Bernard	CIN	vs DEN	L  17-29	5	36	7.2	0	0
Dwayne Allen	IND	vs SD	W  26-22	3	35	11.7	0	0
Jeremy Maclin	KC	vs NYJ	W  24-3	4	35	8.8	0	0
Torrey Smith	SF	@ SEA	L  18-37	3	35	11.7	0	0
Robby Anderson	NYJ	@ KC	L  3-24	2	34	17.0	0	0
Brandon LaFell	CIN	vs DEN	L  17-29	2	34	17.0	0	0
Mike Wallace	BAL	@ JAX	W  19-17	3	34	11.3	0	0
Fozzy Whittaker	CAR	vs MIN	L  10-22	5	34	6.8	0	0
Randall Cobb	GB	vs DET	W  34-27	1	33	33.0	0	0
Dorial Green-Beckham	PHI	vs PIT	W  34-3	3	33	11.0	0	0
Dontrelle Inman	SD	@ IND	L  22-26	3	32	10.7	0	0
Rishard Matthews	TEN	vs OAK	L  10-17	3	32	10.7	0	0
Eli Rogers	PIT	@ PHI	L  3-34	2	32	16.0	0	0
Eric Decker	NYJ	@ KC	L  3-24	1	31	31.0	0	0
Quinton Dunbar	WAS	@ NYG	W  29-27	1	31	31.0	0	1
Will Fuller	HOU	@ NE	L  0-27	3	31	10.3	0	0
C.J. Uzomah	CIN	vs DEN	L  17-29	2	31	15.5	0	0
Josh Ferguson	IND	vs SD	W  26-22	3	29	9.7	0	0
Jeff Heuerman	DEN	@ CIN	W  29-17	1	29	29.0	0	0
Adam Thielen	MIN	@ CAR	W  22-10	3	29	9.7	0	0
David Johnson	ARI	@ BUF	L  18-33	3	28	9.3	0	0
Nick O'Leary	BUF	vs ARI	W  33-18	1	28	28.0	0	0
Walter Powell	BUF	vs ARI	W  33-18	3	28	9.3	0	0
Shane Vereen	NYG	vs WAS	L  27-29	2	28	14.0	0	1
Phillip Dorsett	IND	vs SD	W  26-22	3	27	9.0	0	0
Brandon Marshall	NYJ	@ KC	L  3-24	3	27	9.0	0	0
Lamar Miller	HOU	@ NE	L  0-27	4	27	6.8	0	0
Malcolm Mitchell	NE	vs HOU	W  27-0	1	27	27.0	0	0
Seth Roberts	OAK	@ TEN	W  17-10	2	27	13.5	1	0
Clive Walford	OAK	@ TEN	W  17-10	2	27	13.5	0	0
Tyreek Hill	KC	vs NYJ	W  24-3	3	26	8.7	0	0
Garrett Celek	SF	@ SEA	L  18-37	3	25	8.3	0	0
Jason Witten	DAL	vs CHI	W  31-17	2	25	12.5	0	0
Jeremy Kerley	SF	@ SEA	L  18-37	2	24	12.0	0	0
Cameron Meredith	CHI	@ DAL	L  17-31	2	24	12.0	0	1
Bobby Rainey	NYG	vs WAS	L  27-29	1	24	24.0	0	0
Davante Adams	GB	vs DET	W  34-27	2	23	11.5	1	0
Danny Amendola	NE	vs HOU	W  27-0	2	23	11.5	0	0
Ed Dickson	CAR	vs MIN	L  10-22	1	23	23.0	0	0
DeAngelo Williams	PIT	@ PHI	L  3-34	4	23	5.8	0	0
Anquan Boldin	DET	@ GB	L  27-34	4	22	5.5	1	0
Breshad Perriman	BAL	@ JAX	W  19-17	2	22	11.0	0	0
Nelson Agholor	PHI	vs PIT	W  34-3	3	21	7.0	0	0
Eddie Royal	CHI	@ DAL	L  17-31	3	21	7.0	0	0
Harry Douglas	TEN	vs OAK	L  10-17	2	20	10.0	0	0
Ezekiel Elliott	DAL	vs CHI	W  31-17	2	20	10.0	0	0
Josh Huff	PHI	vs PIT	W  34-3	4	20	5.0	0	0
Marcedes Lewis	JAX	vs BAL	L  17-19	3	20	6.7	0	0
Trey Burton	PHI	vs PIT	W  34-3	2	19	9.5	0	0
Alex Collins	SEA	vs SF	W  37-18	2	19	9.5	0	0
Jalin Marshall	NYJ	@ KC	L  3-24	2	19	9.5	0	1
Jordan Matthews	PHI	vs PIT	W  34-3	2	19	9.5	1	0
Rod Streater	SF	@ SEA	L  18-37	1	19	19.0	0	0
